"","x"
"1",45.9629577889559
"2",57.9261566653789
"3",54.3312737643568
"4",50.5951018897867
"5",60.5213533090709
"6",68.0428695902988
"7",64.7135486126718
"8",41.8395775785693
"9",39.3460265145937
"10",54.2134381199014
"11",51.7682470468767
"12",40.7423327482636
"13",47.961456313259
"14",59.922043460971
"15",56.3334019601624
"16",52.5981443453569
"17",62.5189168771474
"18",70.0407985729213
"19",66.7160440796716
"20",43.8408131650793
"21",41.3436548705223
"22",56.2128846675086
"23",53.7703718234362
"24",42.7423595667755
"25",49.9596503074875
"26",61.9223965510627
"27",58.3348588003554
"28",54.5975419989263
"29",64.517807769852
"30",72.0415397658908
"31",68.7168296434048
"32",45.8400216474901
"33",43.3431539328961
"34",58.2136595992479
"35",55.7706350350907
"36",44.7416481578095
"37",51.95957531389
"38",63.9230149675328
"39",60.3347936587291
"40",56.5970315404256
"41",66.5179691896221
"42",74.0419387117506
"43",70.7166098473952
"44",47.8397293392455
"45",45.3434010034964
"46",60.2138558727135
"47",57.7703848374565
"48",46.7415339099267
"49",53.9598110923719
"50",65.9230627117112
"51",62.3345839371513
"52",58.5970347258009
"53",68.5181462339213
"54",76.0418991711907
"55",72.716468057331
"56",49.8397923491848
"57",47.3435080371751
"58",62.2137802085568
"59",59.7703098877667
"60",48.7416136201986
"61",55.9598580137967
"62",67.9229854054194
"63",64.3345602651711
"64",60.5971051570701
"65",70.5181516361668
"66",78.0418383672371
"67",74.7164761325438
"68",51.8398421909061
"69",49.3434908230146
"70",64.2137415573993
"71",61.7703325171331
"72",50.7416416621958
"73",57.9598330035443
"74",69.922966848515
"75",66.3345853190939
"76",62.5971156677131
"77",72.5181282195998
"78",80.0418343338571
"79",76.7164968138365
"80",53.8398413049782
"81",51.3434734831178
"82",66.2137459163761
"83",63.7703463029925
"84",52.7416350999037
"85",59.9598226876827
"86",71.9229745557043
"87",68.3345924564164
"88",64.5971076518249
"89",74.5181238398435
"90",82.0418420374942
"91",78.7164989219516
"92",55.839834338636
"93",53.3434731464484
"94",68.21375188935
"95",65.7703453453427
"96",54.7416302379954
"97",61.9598245108678
"98",73.9229782960427
"99",70.3345901332112
"100",66.5971049658963
"101",76.518126367326
"102",84.0418437874623
"103",80.7164964161407
"104",57.8398333772424
"105",55.3434754698
"106",70.2137522205148
"107",67.7703433077428
"108",56.7416303813911
"109",63.9598262075844
"110",75.9229778214642
"111",72.3345887942576
"112",68.5971056466546
"113",78.5181273602254
"114",86.0418430040091
"115",82.7164957378395
"116",59.8398341822486
"117",57.3434758770421
"118",72.2137514536507
"119",69.7703431222451
"120",58.7416310697923
"121",65.959826221515
"122",77.9229772352499
"123",74.3345889044398
"124",70.597106120454
"125",80.5181271682691
"126",88.0418426424806
"127",84.7164959757244
"128",61.8398344390872
"129",59.3434756220249
"130",74.213751289086
"131",71.7703433725779
"132",60.7416311571437
"133",67.9598259912189
"134",79.9229772091556
"135",76.3345891050108
"136",72.5971061008278
"137",82.5181270023997
"138",90.0418426936269
"139",86.7164961056303
"140",63.8398343687162
"141",61.343475526593
"142",76.2137513685734
"143",73.7703434369013
"144",62.7416310764051
"145",69.9598259535157
"146",81.922977285415
"147",78.3345891210896
"148",74.5971060328637
"149",84.5181270029181
"150",92.0418427511083
"151",88.7164960932297
"152",65.8398343225899
"153",63.3434755466992
"154",78.2137514034744
"155",75.7703434126018
"156",64.7416310518883
"157",71.9598259792076
"158",83.9229773008431
"159",80.3345890961092
"160",76.597106024989
"161",86.5181270257239
"162",94.0418427530352
"163",90.7164960735043
"164",67.8398343250618
"165",65.343475562899
"166",80.2137513980088
"167",77.7703434000122
"168",66.7416310591394
"169",73.9598259883664
"170",85.922977292793
"171",82.3345890900236
"172",78.5971060330766
"173",88.5181270291976
"174",96.0418427454593
"175",92.7164960721373
"176",69.8398343317657
"177",67.3434755626623
"178",82.2137513923776
"179",79.7703434013846
"180",68.7416310636254
"181",75.95982598627
"182",87.922977289428
"183",84.3345890925002
"184",80.5971060354125
"185",90.5181270266129
"186",98.0418427440178
"187",94.7164960746274
"188",71.839834332469
"189",69.343475560406
"190",84.2137513922512
"191",81.7703434033228
"192",70.7416310633292
"193",77.9598259846894
"194",89.9229772900079
"195",86.3345890937189
"196",82.5971060346675
"197",92.5181270257353
"198",100.041842744832
"199",96.7164960752017
"200",73.8398343316598
"201",71.3434755600878
"202",86.213751393003
"203",83.770343403436
"204",72.7416310626685
